9343.047648,H,519.899104
9359.880352,H,536.731808
9361.863616,Space,538.715072
9362.530304,Space,539.38176
9363.130272,Space,539.981728
9363.4136,Space,540.265056
9619.754816,H,796.606272
9626.287904,H,803.13936
9672.33632,Space,849.187776
9673.03632,Space,849.887776
9696.552192,Space,873.403648
9696.918848,Space,873.770304
9895.428768,H,1072.280224
9904.528448,H,1081.379904
9955.643392,H,1132.494848
9958.359968,H,1135.211424
10163.35322,Space,1340.204672
10163.86986,Space,1340.721312
10198.0521,Space,1374.903552
10198.38541,Space,1375.236864
10240.56736,A,1417.418816
10249.70038,A,1426.55184
10258.16675,A,1435.018208
10273.6496,H,1450.501056
10283.19926,H,1460.05072
10284.66586,A,1461.517312
10299.99869,A,1476.850144
10333.23088,A,1510.082336
10344.66378,B,1521.515232
10370.8129,A,1547.664352
10395.17875,A,1572.030208
10404.06179,A,1580.913248
10404.97843,H,1581.829888
10415.51139,H,1592.362848
10427.72768,H,1604.579136
10427.82768,H,1604.679136
10463.6431,H,1640.49456
10468.92624,A,1645.777696
10469.84288,B,1646.694336
10472.44282,A,1649.294272
10477.02598,A,1653.87744
10478.37594,A,1655.227392
10485.09235,A,1661.943808
10494.87536,A,1671.726816
10506.50829,A,1683.359744
10514.40806,A,1691.25952
10530.1575,Space,1707.00896
10530.34083,Space,1707.192288
10530.47418,Space,1707.325632
10530.64083,Space,1707.492288
10530.84083,Space,1707.692288
10531.02416,Space,1707.875616
10531.17414,Space,1708.0256
10531.29082,Space,1708.142272
