Item1,Item2.X,Item2.Y
48671677.76,100.1836,779.2191
48671709.5296,99.54936,779.9907
48671741.9136,99.54936,779.9907
48671761.5872,100.0441,779.8898
48671790.1952,99.85574,780.2935
48671836.8256,99.76501,780.1494
48671868.672,99.53358,780.6937
48671916.5184,98.899,780.5712
48671949.5552,98.899,780.5712
48671965.7984,99.48808,780.2283
48671997.1328,99.31773,779.7689
48672029.7344,99.16205,779.7227
48672076.7616,99.39124,779.5149
48672108.2368,99.67609,779.6296
48672140.032,99.67609,779.6296
48672159.104,99.65584,780.2585
48672189.12,99.52794,780.7419
48672236.7744,99.29491,779.946
48672269.3248,99.37164,779.7411
48672317.7472,99.34109,779.4999
48672351.4368,99.34109,779.4999
48672368.4864,99.21513,779.2422
48672397.7984,99.43237,779.9929
48672429.3504,99.51473,779.812
48672478.336,99.42786,778.8677
48672509.7472,99.51748,779.9753
48672541.4784,99.51748,779.9753
48672559.744,99.51107,779.7733
48672588.7872,99.95947,779.9924
48672636.7488,99.59853,780.0524
48672669.6832,99.69015,780.0251
48672716.6208,99.79937,780.1346
48672751.296,99.79937,780.1346
48672770.0864,99.59161,780.2308
48672796.8128,99.71331,780.5416
48672830.1184,100.3606,780.6974
48672878.8608,101.0842,783.14
48672909.4912,99.94595,780.0793
48672941.2992,99.94595,780.0793
48672958.4128,99.63542,780.1213
48672988.992,99.44295,779.5416
48673036.992,100.2465,779.7272
48673069.9136,100.1615,779.0765
48673118.3232,99.77396,779.8687
48673149.0432,99.77396,779.8687
48673168.384,99.92777,780.5435
48673197.504,99.66903,780.375
48673228.928,99.46682,779.8364
48673280.576,100.1495,779.9623
48673310.3232,99.64038,779.5012
48673342.1184,99.64038,779.5012
48673360.256,100.2187,779.0197
48673388.6464,100.0138,779.5886
48673437.8752,99.75089,779.7884
48673469.0048,99.79422,780.3062
48673517.8112,100.0164,780
48673549.4272,100.0164,780
48673566.4768,99.97263,779.8784
48673597.44,99.65499,780.1273
48673629.7216,99.98654,780.5889
48673677.7216,100.0047,780.8632
48673709.7344,100.055,779.6631
48673750.0928,100.055,779.6631
48673769.1648,99.54207,780.5244
48673791.5392,99.90645,779.38
48673838.6304,100.1042,778.7478
48673869.1712,99.93935,779.7261
48673918.5536,100.0635,778.9273
48673950.5152,100.0635,778.9273
48673971.0848,99.94208,778.7068
48673997.4656,99.50942,779.5374
48674029.4144,99.70989,779.3122
48674077.5552,99.51215,780.2913
48674110.3104,100.6557,781.0988
48674142.016,100.6557,781.0988
48674158.912,99.73874,779.493
48674189.6704,99.39491,780.1484
48674239.744,99.71301,779.7583
48674269.0432,99.74927,779.8458
48674317.888,99.61275,779.0455
48674350.3744,99.61275,779.0455
48674367.8592,99.52013,778.8778
48674397.7728,99.43542,779.6044
48674429.632,99.65585,779.7224
48674476.9792,99.08967,780.2659
48674509.632,99.47245,780.2323
48674541.6064,99.47245,780.2323
48674559.3088,99.70554,780.2915
48674590.9504,99.37534,780.1594
48674638.2208,99.89375,779.6739
48674670.016,99.74463,779.4374
48674717.0176,99.95737,779.8196
48674748.6464,99.95737,779.8196
48674767.5776,99.98916,779.88
48674798.1696,99.86516,779.4785
48674829.0048,99.77338,778.7195
48674877.504,100.0839,778.3981
48674909.0944,100.2864,779.1865
48674942.1568,100.2864,779.1865
48674959.8592,100.088,779.2494
48674989.696,100.0695,779.732
48675037.504,100.6584,779.294
48675069.9904,100.1419,779.4362
48675118.2592,99.63738,779.4382
48675149.8624,99.63738,779.4382
48675170.4576,99.79049,779.9956
48675197.9392,100.3052,779.3169
48675230.6944,100.1115,779.4313
48675278.7968,99.70004,779.8123
48675309.4016,99.63913,779.9564
48675340.736,99.63913,779.9564
48675360.1024,99.10639,780.4323
48675390.7712,99.4405,780.4741
48675437.3504,99.46905,780.7417
48675472.6656,99.69406,778.8801
48675519.872,99.58466,779.6539
48675552.0896,99.58466,779.6539
48675569.5744,99.62513,780.4534
48675597.6064,99.37541,779.8195
48675629.2352,99.6568,779.5418
48675680.0384,99.40251,779.4006
48675709.44,99.56226,779.1357
48675741.0816,99.56226,779.1357
48675759.5136,99.54498,779.3948
48675789.888,99.30706,778.029
48675837.6704,99.7645,779.3211
48675870.8608,99.68723,779.4822
48675917.7984,99.88064,778.8595
48675950.3744,99.88064,778.8595
48675967.3728,99.84962,779.418
48675997.4144,99.59544,779.58
48676030.5792,99.62521,780.2914
48676077.8112,99.66656,780.6964
48676109.4784,99.42271,780.864
48676142.4128,99.42271,780.864
48676161.6896,99.57652,780.7014
48676190.8864,99.84608,781.2661
48676240.6528,99.65165,780.5157
48676270.5792,99.8373,781.0814
48676318.4384,99.72886,780.988
48676351.0272,99.72886,780.988
48676368.3968,99.7123,781.2399
