FrameCounter,SystemTimestamp,LedState,ComputerTimestamp,G0,G1,G2,G3,G4,G5,G6,G7,R8,R9,R10,R11,R12,R13,R14,R15
0,975.699552,7,30753805.2702,0.0127519539284245,0.0138044887376438,0.0109423374613003,0.00792717086834734,0.00685914071510957,0.00685708898944193,0.0119453044375645,0.0115546218487395,0.0420015970188981,0.0333381391772395,0.0189222542163719,0.0160232843137255,0.0240641711229947,0.0352815485168426,0.0424825851393189,0.0321539792387543
1,975.704512,2,30753805.2702,0.0221616618675442,0.0245462647869065,0.0179147316821465,0.0122385620915033,0.00932273644752019,0.00954185520361991,0.0202411107983863,0.0189975990396158,0.0726865406796203,0.0569780853517878,0.0313039901275195,0.026171875,0.0405436720142602,0.0603821015585721,0.0733294633642931,0.0575490196078431
2,975.709536,1,30753822.9544,0.0184252022487317,0.0198833252309188,0.0148639060887513,0.0103104575163399,0.00796388408304498,0.0082579185520362,0.0168941739375176,0.0158813525410164,0.0654267589388697,0.0516099577085736,0.0283628136569313,0.0234375,0.0365819964349376,0.0547259929612871,0.0668601651186791,0.050363321799308
3,975.714528,4,30753828.3612,0.168877690936514,0.212254901960784,0.205430856553148,0.156844070961718,0.0485095876585928,0.0174264705882353,0.0471315320386528,0.162489995998399,0.0505345577144885,0.0425028835063437,0.0279583161936103,0.0210018382352941,0.0285873440285205,0.0412958773252891,0.0498613261093911,0.0457352941176471
4,975.71952,2,30753833.3574,0.0275161113396408,0.030325311942959,0.0227876676986584,0.0161531279178338,0.0127036476355248,0.0131070889894419,0.0253377427526034,0.0241046418567427,0.0863831958122616,0.0680988081507113,0.0385438091320444,0.0323759191176471,0.0491666666666667,0.0721091000502765,0.0871517027863777,0.0685121107266436
5,975.724512,1,30753838.3436,0.0118606883312766,0.0127714308864041,0.00962977296181631,0.00668067226890756,0.00524978373702422,0.00552790346907994,0.011244019138756,0.0104591836734694,0.0432614674829208,0.0341503267973856,0.0185040449746332,0.0151884191176471,0.0235516934046346,0.0359539969834088,0.0441466718266254,0.0332929642445213
6,975.729536,4,30753843.3292,0.177121897710133,0.22089005023497,0.211977554179567,0.161806722689076,0.0534313725490196,0.0227620663650075,0.0557908809456797,0.169892957182873,0.0789348771182681,0.0652249134948097,0.0415466886055121,0.0327052696078431,0.0454946524064171,0.0654788838612368,0.0783862229102167,0.0677335640138408
7,975.734528,2,30753848.3165,0.0219217057452352,0.0240459406903257,0.01796955624355,0.0129505135387488,0.010191392733564,0.0105505279034691,0.0200534759358289,0.0190026010404162,0.0671502084996895,0.0529171472510573,0.0299259563965446,0.0253063725490196,0.0380392156862745,0.0560708898944193,0.0674793601651187,0.0537053056516724
8,975.73952,1,30753852.8551,0.0150281091457562,0.0158300923675255,0.0123613261093911,0.00906395891690009,0.0074808967704729,0.00771493212669683,0.0142180317102918,0.013140256102441,0.048853251707923,0.0389129181084198,0.022110242698478,0.0183670343137255,0.0276069518716578,0.0411764705882353,0.0498097265221878,0.0380594002306805
9,975.744512,4,30753852.8551,0.179809406279995,0.223754253767623,0.213567466460268,0.163139589169001,0.054707324106113,0.0241628959276018,0.0585420771179285,0.172248899559824,0.0906751841007896,0.0743223760092272,0.0464897847250788,0.0369944852941176,0.0520142602495544,0.0751256913021619,0.090109004127967,0.0765686274509804
10,975.749536,2,30753852.8551,0.0153092006033182,0.0168712526332847,0.0125386996904025,0.00897058823529412,0.00732771049596309,0.00745852187028658,0.0142837039121869,0.0134353741496599,0.0443793807115606,0.0350730488273741,0.0197312491430139,0.0168428308823529,0.0249688057040998,0.0368212669683258,0.0444723942208462,0.0364850057670127
