FrameCounter,SystemTimestamp,LedState,ComputerTimestamp,G0,G1,G2,G3,G4,G5,G6,G7,R8,R9,R10,R11,R12,R13,R14,R15
0,754.221568,7,30532336.1265,0.0122152099706279,0.012765737874097,0.0102363752518551,0.00781718569780854,0.00701213818860878,0.00704656862745098,0.011328197945845,0.011288435828877,0.0391695501730104,0.0300756793945648,0.0179308565531476,0.0140489069190895,0.0238316993464052,0.0315454201004073,0.0374795751633987,0.0309386499697918
1,754.226528,2,30532342.1099,0.0271513058664761,0.0295734434124527,0.0221263944174161,0.016320645905421,0.0132049486461251,0.0138310185185185,0.0239892623716153,0.0240391042780749,0.0828835063437139,0.0640901272789818,0.0385036119711042,0.0310987153482082,0.050223311546841,0.0669745192763096,0.0797385620915033,0.0660844730048882
2,754.23152,1,30532346.1007,0.0146840517583552,0.015562435500516,0.0116049928743427,0.00826701268742791,0.00683473389355742,0.007114651416122,0.0128664799253035,0.0126197638146168,0.052277970011534,0.0391262469900241,0.0222265221878225,0.0170982645931936,0.0300299564270153,0.0410604338353699,0.0492606209150327,0.0401246773219092
3,754.236544,4,30532351.0866,0.166634913074542,0.216494668042656,0.20921666912379,0.167436562860438,0.0610177404295051,0.0197337962962963,0.0452474323062558,0.148607397504456,0.0621453287197232,0.0521052631578947,0.0369711042311661,0.0313995943204868,0.0397821350762527,0.0512811404755139,0.0608088235294118,0.0529686384357665
4,754.241536,2,30532355.7498,0.025944669365722,0.0281664946680427,0.0210477173325471,0.0155680507497116,0.012546685340803,0.0131467864923747,0.0229878618113912,0.022863747771836,0.0783852364475202,0.0607258341933264,0.0365531475748194,0.0296112237998648,0.0474809368191721,0.0633016008335701,0.0756004901960784,0.0625281485143077
5,754.246528,1,30532355.7498,0.0133007859014051,0.0141520467836257,0.0110668828935083,0.00826701268742791,0.00743697478991597,0.00752995642701525,0.0120051353874883,0.0118259803921569,0.0431776239907728,0.0328345373237014,0.0193937048503612,0.0154834347532116,0.0253322440087146,0.0341550629913801,0.0409232026143791,0.0335420442686879
6,754.25152,4,30532355.7498,0.173642533936652,0.223670450636395,0.214735367831343,0.171874279123414,0.0656605975723623,0.0248944716775599,0.0526984126984127,0.155010583778966,0.086280276816609,0.0708875128998968,0.0485835913312693,0.040859815190444,0.0549673202614379,0.071078431372549,0.0839174836601307,0.0720931509858845
7,754.256544,2,30532370.7552,0.018014209732476,0.0195562435500516,0.0146395400265369,0.0109256055363322,0.00876517273576097,0.00928989651416122,0.0158496732026144,0.0158255347593583,0.0517358708189158,0.0403199174406605,0.024796181630547,0.0205476673427992,0.0317538126361656,0.0420431940892299,0.0506290849673203,0.0418026033942989
8,754.261536,1,30532375.8077,0.0191871080415972,0.0201857585139319,0.0156739888938031,0.0118108419838524,0.00984593837535014,0.0101681644880174,0.0171521942110177,0.0168755570409982,0.0626124567474048,0.0479291365669075,0.0281759545923633,0.022097137705657,0.0372848583877996,0.0500757791039121,0.0595220588235294,0.0489893996814412
9,754.266528,4,30532380.7945,0.17128681432087,0.220987272101823,0.212118531623176,0.169760668973472,0.0646802054154995,0.0241115196078431,0.0512675070028011,0.153289327094474,0.0815974625144175,0.0671895424836601,0.0463957688338493,0.0391199008338968,0.0523420479302832,0.0672586909159799,0.0793423202614379,0.0686521667490526
10,754.27152,2,30532385.7808,0.0149658648884655,0.0161506707946336,0.0120055039559684,0.00879757785467128,0.00762371615312792,0.00790100762527233,0.0130508870214753,0.0129205659536542,0.040876585928489,0.0320983832129343,0.0199303405572755,0.0168661257606491,0.0250925925925926,0.0331817751255091,0.0402941176470588,0.0331630691492283
11,754.276544,1,30532390.7674,0.025736286417401,0.0272789817681459,0.0211116025357511,0.0156949250288351,0.0129901960784314,0.0134020969498911,0.022952847805789,0.0229250222816399,0.0847808535178777,0.064702442380461,0.0378921568627451,0.0297013748027947,0.0503758169934641,0.067727574121436,0.0801266339869281,0.066367331246224
12,754.281536,4,30532395.7538,0.163185679129952,0.211850705194358,0.205118187625928,0.164714532871972,0.0605485527544351,0.0202001633986928,0.0442717086834734,0.145579879679144,0.0553460207612457,0.0470966632266942,0.0347291021671827,0.0300292990759522,0.03635348583878,0.046087903760538,0.0542442810457516,0.0477893118031526
13,754.286528,2,30532400.7406,0.0205544971024847,0.0226350189198486,0.0167108948842695,0.012378892733564,0.0101283846872082,0.0105902777777778,0.0182446311858077,0.0181261140819964,0.0607324106113033,0.0471069831441348,0.0287254901960784,0.0235181428893396,0.037072440087146,0.0491687979539642,0.0589583333333333,0.04891525237546
14,754.29152,1,30532405.7987,0.0243331745653727,0.0258238734090127,0.019922354906875,0.0149365628604383,0.0122829131652661,0.0128302015250545,0.0218043884220355,0.0216159759358289,0.0798327566320646,0.0611455108359133,0.0360242518059855,0.0281530313274735,0.0476579520697168,0.0641470114615895,0.0759150326797386,0.0626270115889493
15,754.296544,4,30532405.7987,0.15944669365722,0.208015135878913,0.202120497321736,0.162436562860438,0.0589775910364146,0.0186478758169935,0.0413702147525677,0.142633132798574,0.0440311418685121,0.0386962504299966,0.0299200206398349,0.0263804372323642,0.0298692810457516,0.0372454295727953,0.0437908496732026,0.0391607623441533
16,754.301536,2,30532405.7987,0.0272128284512185,0.029594083247334,0.0221288515406162,0.0164186851211073,0.0133076563958917,0.013827614379085,0.0240499533146592,0.0240641711229947,0.0825951557093426,0.0639078087375301,0.038531991744066,0.0311088573360379,0.0501797385620915,0.0669295254333618,0.0800245098039216,0.0660707420222991
17,754.306528,1,30532421.4204,0.0163749305390172,0.0172067423460612,0.0135412059560666,0.010322952710496,0.00846638655462185,0.00900735294117647,0.0149859943977591,0.0147253787878788,0.053800461361015,0.0408531131750946,0.0240376676986584,0.0189294568402073,0.0318464052287582,0.0428317703893151,0.050702614379085,0.0419454056132257
18,754.31152,4,30532426.299,0.165249662618084,0.214200206398349,0.206540861958819,0.165663206459054,0.0617647058823529,0.0214630991285403,0.0466269841269841,0.147590797682709,0.0641926182237601,0.0539697282421741,0.0387745098039216,0.0331057020509353,0.041797385620915,0.0531306242303685,0.0626593137254902,0.0547179656176196
19,754.316544,2,30532431.2886,0.0259327617686751,0.0280460956312349,0.0209961177453438,0.0154786620530565,0.0125816993464052,0.0131535947712418,0.0228898225957049,0.0229083110516934,0.0782179930795848,0.0603680770553836,0.0365221878224974,0.0296055893621817,0.047568082788671,0.0632850241545894,0.075453431372549,0.0624677321909156
20,754.321536,1,30532436.275,0.013213463523061,0.0140694874441004,0.0110988254951103,0.00824971164936563,0.00735994397759104,0.00760825163398693,0.0120074696545285,0.0119346033868093,0.0431314878892734,0.0328654970760234,0.0193266253869969,0.0154113139508677,0.025255991285403,0.0341148053424268,0.0410212418300654,0.0335585214477948
21,754.326528,4,30532441.2565,0.171594427244582,0.221104231166151,0.212101331760774,0.169792387543253,0.0649439775910364,0.0246697984749455,0.052436974789916,0.153425802139037,0.0860957324106113,0.0707946336429309,0.0485061919504644,0.0406535947712418,0.0548774509803922,0.0708155726058539,0.083656045751634,0.0721563135057945
